"upload" "webget" "enqcount" "callwait" "churn"
"1" 9.2 283.9 5 8.14 "no"
"2" 7 298.4 6 11.59 "no"
"3" 6.6 163.8 5 8.25 "no"
"4" 15 566.8 2 9.5 "no"
"5" 11.1 210.3 5 6.96 "no"
"6" 15.4 857 2 10.8 "yes"
"7" 15 544.8 2 10.37 "no"
"8" 12 430.8 3 7.29 "no"
"9" 11.6 342 5 6.82 "no"
"10" 9.4 286.6 2 9.56 "no"
"11" 7.1 455.9 5 5.25 "no"
"12" 7.8 236.9 6 7.05 "no"
"13" 5.4 211.3 0 0 "no"
"14" 9.8 247 6 12.49 "no"
"15" 7.3 260.2 7 8.45 "yes"
"16" 11.5 576.4 1 10.79 "no"
"17" 12.5 520 7 4.47 "yes"
"18" 8.1 163.8 4 11.4 "no"
"19" 10.4 286.5 4 5.91 "no"
"20" 11.2 255.1 3 7.65 "no"
"21" 7.9 244.4 2 13.4 "yes"
"22" 6.4 273.1 2 9.75 "no"
"23" 12.6 309 2 11.16 "no"
"24" 8.7 368.5 0 0 "no"
"25" 4.7 244.4 3 8.91 "no"
"26" 13.1 452.7 2 6.32 "no"
"27" 9.4 174.4 2 7.53 "no"
"28" 19 1059.9 2 10.61 "yes"
"29" 9.6 284.3 0 0 "no"
"30" 9.8 181.2 2 9.11 "no"
"31" 14 251.9 3 8.17 "no"
"32" 11.9 407.1 6 11.17 "no"
"33" 11.1 393.2 4 10 "no"
"34" 14.3 686.3 7 8.04 "yes"
"35" 12 517.2 7 6.9 "yes"
"36" 12.4 281.6 7 7.92 "no"
"37" 12.3 240.4 1 7.31 "no"
"38" 9.2 194.3 1 6.58 "no"
"39" 10.9 353.4 7 7.27 "no"
"40" 12.5 610.9 4 7.78 "yes"
"41" 7.6 291.4 5 11.25 "no"
"42" 11 581.1 5 7.79 "no"
"43" 13.2 318.1 7 8.97 "yes"
"44" 10.8 242.8 2 7.78 "no"
"45" 12.3 339.5 4 6.51 "no"
"46" 7 285.5 3 9.43 "no"
"47" 8.8 239.7 6 9.2 "no"
"48" 6.7 170.8 6 12.97 "no"
"49" 10.1 278.3 4 9.56 "no"
"50" 6.7 315 3 9.92 "no"
"51" 11.8 220.7 1 6.59 "no"
"52" 6.4 234.3 3 8.21 "no"
"53" 7.9 185.5 2 8.47 "no"
"54" 12 420.5 2 11.06 "no"
"55" 12.4 620 7 11.02 "yes"
"56" 8 294 5 11.51 "no"
"57" 11.4 207.5 2 6.73 "no"
"58" 15.2 950.8 3 9.86 "yes"
"59" 6.8 285.5 4 10.66 "no"
"60" 7.6 304.2 3 8.36 "no"
"61" 7.8 459 3 9.98 "no"
"62" 14.6 476.5 4 10.07 "no"
"63" 5.9 213.1 2 9.63 "no"
"64" 8.7 247.7 5 8.82 "no"
"65" 10.7 329.5 1 11.7 "no"
"66" 12.6 333.1 0 0 "no"
"67" 4.4 195.4 0 0 "no"
"68" 10.5 311.3 6 8.47 "no"
"69" 11 376 6 7.5 "no"
"70" 11.6 299.9 3 10.91 "no"
"71" 19 681.6 1 9.75 "yes"
"72" 15.9 423 6 12.31 "yes"
"73" 12.2 381 1 4.35 "no"
"74" 11.6 312 6 10.27 "no"
"75" 8.1 350.6 0 0 "no"
"76" 6.1 269.2 3 7.19 "no"
"77" 4.3 282.6 2 9.93 "no"
"78" 9.4 332.7 5 8.96 "no"
"79" 10.3 426.8 5 11.35 "no"
"80" 10.1 180.5 7 8.85 "yes"
"81" 9 240.5 3 5.2 "no"
"82" 6.6 239.3 4 6.33 "no"
"83" 5.2 381.7 2 4.05 "no"
"84" 10.9 357.5 6 9.94 "no"
"85" 7.7 293.3 4 8.01 "no"
"86" 8.7 321.9 5 7.07 "no"
"87" 10.6 302.7 0 0 "no"
"88" 13.4 580.9 7 8.95 "no"
"89" 17.9 574.4 2 5.95 "yes"
"90" 14 455.5 4 6.76 "no"
"91" 8.6 408.7 3 12.31 "no"
"92" 14.3 542.3 1 7.96 "no"
"93" 7.7 556.9 3 6.64 "no"
"94" 11.1 473.3 5 6.08 "no"
"95" 5.1 197.1 3 9.25 "no"
"96" 9.1 294.8 2 10.27 "no"
"97" 10.2 450.3 3 7.7 "no"
"98" 10.5 476.6 0 0 "no"
"99" 14.1 566.7 5 10.55 "no"
"100" 11.3 502.5 4 7.12 "no"
"101" 15.5 650.8 7 8.57 "no"
"102" 10.4 431.3 2 10.57 "no"
